[2026-06-30 14:46:06,843] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /DeviceLNV/M_Return/ HTTP/1.1" 200 62559
[2026-06-30 14:46:07,170] [UserIP.py:88] [UserIP:process_response] [INFO]- 2026-06-30 14:46:07: C1010S3/AnonymousUser/Cao.Edwin> None/EDWIN/bxbei > 127.0.0.1/127.0.0.1 > <WSGIRequest: POST '/DeviceLNV/M_Return/'>
[2026-06-30 14:46:07,185] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /DeviceLNV/M_Return/ HTTP/1.1" 200 24980
[2026-06-30 14:46:07,193] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 38099
[2026-06-30 14:46:07,334] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/2017.jpg
[2026-06-30 14:46:07,343] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/1190.jpg
[2026-06-30 14:46:07,343] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/2017.jpg HTTP/1.1" 404 1803
[2026-06-30 14:46:07,345] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/1190.jpg HTTP/1.1" 404 1803
[2026-06-30 14:46:07,348] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/1257.jpg
[2026-06-30 14:46:07,359] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/1257.jpg HTTP/1.1" 404 1803
[2026-06-30 14:46:07,364] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/1274.jpg
[2026-06-30 14:46:07,377] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/1265.jpg
[2026-06-30 14:46:07,377] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/1274.jpg HTTP/1.1" 404 1803
[2026-06-30 14:46:07,384] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/616.jpg
[2026-06-30 14:46:07,384] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/1265.jpg HTTP/1.1" 404 1803
[2026-06-30 14:46:07,391] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/616.jpg HTTP/1.1" 404 1800
[2026-06-30 14:46:07,399] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/949.jpg
[2026-06-30 14:46:07,412] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/949.jpg HTTP/1.1" 404 1800
[2026-06-30 14:46:07,419] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/371.jpg
[2026-06-30 14:46:07,434] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/371.jpg HTTP/1.1" 404 1800
[2026-06-30 14:46:07,435] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/1372.jpg
[2026-06-30 14:46:07,447] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/2264.jpg
[2026-06-30 14:46:07,455] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/1372.jpg HTTP/1.1" 404 1803
[2026-06-30 14:46:07,457] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/2264.jpg HTTP/1.1" 404 1803
[2026-06-30 14:46:07,465] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/1058.jpg
[2026-06-30 14:46:07,480] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/1058.jpg HTTP/1.1" 404 1803
[2026-06-30 14:46:07,480] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/1373.jpg
[2026-06-30 14:46:07,496] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/1373.jpg HTTP/1.1" 404 1803
[2026-06-30 14:46:07,508] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/2042.jpg
[2026-06-30 14:46:07,525] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/2042.jpg HTTP/1.1" 404 1803
[2026-06-30 14:46:07,526] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/2177.jpg
[2026-06-30 14:46:07,538] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/1973.jpg
[2026-06-30 14:46:07,539] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/2177.jpg HTTP/1.1" 404 1803
[2026-06-30 14:46:07,549] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/1327.jpg
[2026-06-30 14:46:07,552] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/1973.jpg HTTP/1.1" 404 1803
[2026-06-30 14:46:07,554] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/1435.jpg
[2026-06-30 14:46:07,557] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/1327.jpg HTTP/1.1" 404 1803
[2026-06-30 14:46:07,566] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/1435.jpg HTTP/1.1" 404 1803
[2026-06-30 14:46:07,597] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/2412.jpg
[2026-06-30 14:46:07,599] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/2412.jpg HTTP/1.1" 404 1803
[2026-06-30 14:46:07,601] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/2511.jpg
[2026-06-30 14:46:07,616] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/2511.jpg HTTP/1.1" 404 1803
[2026-06-30 14:46:07,637] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/2851.jpg
[2026-06-30 14:46:07,644] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/DeviceLNV/Device/2869.jpg
[2026-06-30 14:46:07,645] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/DeviceLNV/Device/2851.jpg HTTP/1.1" 404 1803
